key,score,repeat,average
crude,8.7,1,8.7
divirta,9.5,1,9.5
blip,9.1,1,9.1
owes,9.1,1,9.1
bluntly,9.2,1,9.2
usd,42.4,6,7.066666666666666
marketing,17.4,2,8.7
pushed,9.1,1,9.1
panels,8.5,1,8.5
bialy,7.6,1,7.6
cease,18.5,2,9.25
klasyk,9.4,1,9.4
metro,9.4,1,9.4
actresses,8.1,1,8.1
oise,18.2,2,9.1
resist,96.2,11,8.745454545454546
zalo,9.3,2,4.65
koreatown,18.1,2,9.05
gentrified,9.0,1,9.0
shuko,16.6,2,8.3
imperdibile,9.2,1,9.2
naveen,25.7,3,8.566666666666666
parmigiano,70.5,8,8.8125
chx,6.5,1,6.5
prob,66.4,8,8.3
barf,7.5,1,7.5
brittle,35.4,4,8.85
consumerism,7.2,1,7.2
inteira,8.6,1,8.6
cajun,28.7,4,7.175
namba,8.7,1,8.7
japonais,17.4,2,8.7
parm,212.6,27,7.874074074074074
pode,53.4,6,8.9
bob,25.4,3,8.466666666666667
agrumi,9.1,1,9.1
derricious,9.2,1,9.2
teller,9.1,1,9.1
whites,79.2,9,8.8
ache,18.3,2,9.15
worcestershire,9.4,1,9.4
always,5476.3,673,8.137147102526002
sammich,67.3,8,8.4125
pap,8.8,1,8.8
shakers,27.1,3,9.033333333333333
compare,106.3,12,8.858333333333333
davidbartongym,7.6,1,7.6
rechaces,9.3,1,9.3
awkward,62.3,7,8.9
shawrma,9.0,1,9.0
guak,8.6,2,4.3
mycitylives,9.6,1,9.6
seedless,8.5,1,8.5
vin,27.4,3,9.133333333333333
rgueres,18.4,2,9.2
felipe,9.2,1,9.2
gin,172.3,20,8.615
cors,9.3,1,9.3
first,2187.3,261,8.380459770114943
peking,27.3,3,9.1
plz,17.4,2,8.7
piss,16.1,2,8.05
problem,162.7,19,8.563157894736841
couch,31.7,4,7.925
rund,9.3,1,9.3
anytime,199.3,23,8.665217391304349
rdrr,9.2,1,9.2
tamale,9.1,1,9.1
lavo,8.7,1,8.7
georges,162.2,18,9.011111111111111
veeeeery,7.5,1,7.5
chaos,70.3,8,8.7875
eod,7.7,1,7.7
samples,289.4,33,8.76969696969697
salinity,9.1,1,9.1
comfortably,8.9,1,8.9
laidback,18.3,2,9.15
proviges,9.1,1,9.1
stylish,35.4,4,8.85
background,64.2,8,8.025
binge,8.4,1,8.4
checks,15.5,2,7.75
libros,9.5,1,9.5
greatness,27.1,3,9.033333333333333
phebes,8.8,1,8.8
chilled,296.4,33,8.98181818181818
vinte,9.1,1,9.1
mas,285.3,35,8.151428571428571
pouch,24.7,3,8.233333333333333
rated,183.7,21,8.747619047619047
boggles,9.0,1,9.0
org,43.4,5,8.68
ottimo,18.3,2,9.15
desperate,40.5,5,8.1
biber,9.1,1,9.1
tsukemen,27.1,3,9.033333333333333
dishonesty,7.2,1,7.2
fakat,9.5,1,9.5
diappointing,8.6,1,8.6
opting,26.4,3,8.799999999999999
gateaux,9.2,1,9.2
forced,24.5,3,8.166666666666666
complicado,9.5,1,9.5
rettung,7.1,1,7.1
role,42.0,5,8.4
whoring,9.4,1,9.4
legitimately,8.9,1,8.9
proactively,8.4,1,8.4
forgiven,8.4,1,8.4
iluminaci,8.4,1,8.4
fs,9.1,1,9.1
washing,27.5,3,9.166666666666666
indonesia,6.8,1,6.8
condense,9.1,1,9.1
rihaku,9.4,1,9.4
tout,27.5,3,9.166666666666666
jonas,27.3,3,9.1
pounce,9.4,1,9.4
feature,23.6,3,7.866666666666667
transportingly,9.0,1,9.0
seconds,92.3,11,8.39090909090909
involved,50.7,6,8.450000000000001
stubby,8.8,1,8.8
willing,148.4,17,8.729411764705883
gigante,9.0,1,9.0
insulin,18.0,2,9.0
highlight,116.3,13,8.946153846153846
contender,71.2,8,8.9
nger,9.1,1,9.1
freak,17.0,2,8.5
extent,9.1,1,9.1
dients,9.4,1,9.4
overwhelm,18.4,2,9.2
dif,36.5,4,9.125
estimated,9.4,1,9.4
portal,8.9,1,8.9
albert,44.9,5,8.98
pine,70.2,8,8.775
qualita,9.6,1,9.6
suspect,41.2,5,8.24
fervilhante,9.5,1,9.5
pie_by_the_pound,7.7,1,7.7
try,20238.3,2385,8.48566037735849
asparacus,9.6,1,9.6
kecuali,9.0,1,9.0
boozy,122.3,14,8.735714285714286
abroad,8.4,1,8.4
spendy,25.5,3,8.5
curt,8.9,1,8.9
cuppa,39.8,5,7.959999999999999
deluge,9.6,1,9.6
hometown,9.4,1,9.4
mazcalito,8.6,1,8.6
shawarma,232.0,26,8.923076923076923
url,9.3,4,2.325
excited,87.9,10,8.790000000000001
acoustics,26.3,3,8.766666666666667
wildflower,24.4,3,8.133333333333333
spicey,78.2,9,8.68888888888889
malenie,6.8,1,6.8
avgolemono,16.0,2,8.0
listed,114.2,13,8.784615384615385
giros,8.0,2,4.0
calamari,581.7,70,8.31
