unigram,score
union,8.294029850746274
orphanage,9.1
waiter,8.807894736842103
prolly,9.4
punk,9.4
cosa,9.0
chaotic,9.0
gamewatches,7.5
wholesome,9.0
por,8.81111111111111
split,8.693103448275862
kiin,7.3
deserve,8.371428571428572
ace,9.1
entire,9.161538461538463
lunchtime,8.283333333333333
drinks,6.9
roaster,8.649999999999999
lyric,9.0
clone,9.4
gyros,8.0
overrun,7.75
cher,9.1
buffet,8.425
kanpai,9.3
kish,9.2
chicke,9.4
ungreasy,8.9
acheson,8.9
europe,8.825
precise,9.3
grenadine,7.2
daiginjo,9.4
ravioli,8.685714285714285
frosted,7.5
luc,7.6
darn,8.925
grillllle,8.9
bannana,9.1
arrange,9.4
gooooood,9.2
whip,8.281818181818181
lifetime,9.2
impressive,9.157142857142857
isaan,8.2
mmmm,8.927272727272728
eachother,8.2
porcelain,8.75
tasteful,9.2
hazelnut,8.95106382978724
there,8.49417721518985
underwhelm,8.95
gorgonzola,8.700000000000001
bladder,9.2
blt,8.2
decently,6.8
spear,6.5
indoors,9.149999999999999
oua,7.3
funcionamento,9.4
nitro,8.6
turkish,8.299999999999999
crank,8.266666666666666
jugos,9.0
kimi,9.0
dread,7.5
coolio,8.3
alcohol,8.999999999999998
obnoxious,7.575
chewsy,9.4
vinegar,8.633333333333333
ironically,7.4
ohh,9.4
crush,7.95
mace,6.8
yasai,8.7
thailand,8.2
hilarious,8.45
room,8.823880597014927
jedal,9.3
eskimo,9.099999999999998
party,8.763414634146338
thursdays,7.3999999999999995
babaganoush,8.9
militantly,6.8
shimp,8.5
textbook,9.4
hum,7.2
next,8.57209302325582
nuong,7.6
closet,9.1
agave,8.5
swedish,9.0
morning,8.119512195121953
ressie,9.1
pescado,8.2
bonanza,7.2
rocks,8.649999999999999
brewing,9.2
unctuous,9.4
dale,8.8
funness,9.2
form,8.809999999999999
rugala,7.2
formaggio,9.1
dumbling,9.4
crucial,9.15
erotic,7.1
uninterrupted,9.2
fresco,8.775
chaus,8.493103448275859
diappointing,8.6
piroygi,9.1
traffic,8.799999999999999
dorade,9.2
ever,8.64122807017541
greeks,7.3
mothereffing,9.1
number,8.522222222222222
vino,9.075
sausages,9.4
why,8.804347826086959
miniature,9.1
none,9.216666666666667
thin,8.729268292682924
hesitate,8.05
peanut,8.676744186046516
shaky,9.2
multigrain,6.8
member,8.871428571428572
aburi,8.4
noodle,9.169590643274821
soulcycle,9.2
reimagine,8.2
skunk,6.5
uhhh,7.6
courtship,9.1
seasonal,8.862499999999995
china,8.8
folha,6.9
partake,9.1
roe,8.833333333333332
antic,7.5
give,8.626744186046512
double,8.6375
mustard,8.633333333333333
rapidinho,9.0
shake,8.623255813953495
overcome,9.1
loyal,8.7
same,8.5439393939394
pair,8.809999999999999
japonica,8.4
choke,9.2
spicier,9.271428571428572
hurry,8.75
gogel,9.1
specials,8.7
thus,9.4
blintzes,9.1
ant,9.05
horrid,9.1
amex,8.95
overhyped,9.166666666666666
excelent,9.05
flavored,8.34
plug,8.181818181818182
adorable,8.936363636363637
awful,8.015999999999998
calorie,8.208333333333334
alfreado,8.1
juste,9.1
isle,6.9
ethereal,9.2
browse,8.033333333333333
unbearable,8.5
glass,8.575000000000001
hotspot,8.25
mitsuwa,9.4
although,8.865
fear,8.3
other,8.726573426573433
toto,8.7
gum,9.1
dylan,8.7
vongerichten,9.1
pao,8.963636363636363
anerkjent,7.1
little,9.115121376693343
squishy,8.5
able,8.6
compromise,9.4
pleaseeeee,8.1
baseball,6.6
chocoholic,9.033333333333333
bodega,8.7
unprepossess,9.1
jogo,6.9
coumont,7.8
quiera,7.2
hijiki,8.85
door,8.497999999999998
ketchup,8.28
pastele,7.1
glow,6.5
pub,7.214285714285714
tacoz,8.7
caviar,8.299999999999999
guacamole,8.566666666666665
somewhat,8.26
flakes,9.1
como,8.85
bim,8.6
brave,8.95
balanced,9.0
remote,9.4
parppadelle,9.1
decorate,6.6
precio,9.1
fabulously,9.0
cerveja,8.5
benny,9.066666666666666
consumo,8.1
wowwwwww,8.7
jantar,9.0
thousand,9.4
short,8.802325581395355
ensure,9.4
pulley,9.1
fireplace,7.65
brilliant,8.108333333333333
relieve,8.75
cakes,9.2875
hero,9.166666666666666
glacially,6.5
icrunch,7.2
artwork,8.45
keftede,8.0
interactive,9.4
native,8.3
rumor,9.149999999999999
desserts,8.683333333333335
private,8.416666666666666
mulberry,8.2
bind,7.8
independence,6.6
seedless,8.5
pasternack,9.1
encapsulate,8.9
speakeasy,8.919999999999998
heavy,9.086956521739129
bibb,9.25
herbivore,8.1
suggestion,9.4
experimentation,9.4
broad,6.9
disposition,8.7
scon,6.8
shallot,9.166666666666666
lacinato,8.5
radio,6.6
molding,7.5
radiohead,6.5
tough,8.808333333333334
realize,8.649999999999999
blintz,9.099999999999998
martini,8.748148148148148
sunbathe,6.8
enormous,8.95
kentucky,9.4
cramped,8.799999999999999
sock,8.15
bombe,9.2
lane,9.3
ban,9.1
ribalta,8.7
blanc,8.466666666666667
virtually,6.5
budget,7.7
savings,8.5
roommate,7.5
esquina,8.9
omelette,8.792307692307691
koreatown,9.4
lavender,9.164705882352944
location,8.37761194029851
oops,8.7
benefit,8.966666666666667
puglia,9.1
collective,9.0
satisyfying,6.2
unlimited,8.664285714285715
support,8.3875
cosmo,8.1
see,8.615957446808515
scallops,9.2
delux,9.0
insult,6.6
fiery,8.933333333333334
encounter,6.833333333333333
feb,9.4
dependable,7.5
sevigny,9.1
properly,8.5
guinea,6.8
queen,8.575
badly,9.1
inexpensive,8.718181818181817
crust,8.777083333333335
prude,8.6
margs,8.2
venue,8.175
shoot,8.85
grom,9.1
quack,9.1
ovaltin,9.1
bath,8.266666666666667
hip,8.492857142857144
gringo,8.9
baccala,8.2
tannar,9.1
spend,8.005263157894737
laktosefreie,9.0
renovation,8.95
poetry,7.800000000000001
ikura,8.666666666666666
sums,9.1
corsica,9.2
shit,8.533333333333335
older,7.025
sallad,9.2
livro,7.8
transcend,9.4
emperor,8.1
krout,9.1
distinctly,9.2
candace,6.9
uncultured,9.4
flare,8.649999999999999
faultless,9.1
daisy,9.2
ritual,9.2
caramel,8.530612244897961
boot,7.950000000000001
fry,8.683928571428577
domestic,8.5
tremendously,9.2
perogy,9.099999999999998
peter,7.95
bummer,8.7
mixed,8.658823529411764
boy,8.249999999999998
moscow,9.0
joes,9.1
seu,9.0
palladium,9.1
macchiatto,9.0
interpretation,9.2
cholocate,9.0
santacon,6.9
bang,7.5600000000000005
grebiche,9.0
mochas,6.8
dose,8.0
replace,8.16
pedia,9.4
latter,8.649999999999999
comedy,9.1
satisfying,8.793333333333331
cameron,7.2
ssam,9.376923076923068
pruebo,9.2
backwards,9.4
lashing,9.4
order,9.090134803921622
ravens,6.5
bev,9.25
relatively,8.120000000000001
european,8.976923076923075
norma,9.1
leyend,9.1
yee,9.2
cacio,9.024999999999999
arte,9.1
arneis,9.1
israeli,8.433333333333334
lava,9.088095238095253
slice,8.864935064935077
natto,8.55
frattiest,6.9
torrevento,9.1
chop,8.321428571428571
snail,8.1
limit,8.299999999999999
outshine,9.1
kloss,9.1
choc,8.877777777777776
premiere,8.5
bisque,8.45
basically,8.8
sweeten,8.84
excuse,8.4
broken,7.8
deal,8.583809523809526
twitter,8.1
voce,9.2
bearable,8.3
hazelnutty,9.4
terbaik,9.4
screenplay,8.3
malteadas,9.0
underground,9.400000000000004
pirogy,9.1
irasshai,9.4
chicken,8.610772357723562
supa,8.559999999999999
mahi,8.575000000000001
sailing,9.2
spacey,6.8
renowned,9.0
compote,9.1
chickpea,9.08620689655172
sakes,9.4
bamboo,9.350000000000001
jacqueline,9.1
rob,9.2
gio,7.6
regular,8.678571428571425
unlucky,8.9
refer,7.2
cameo,7.2
breast,8.6
buddy,8.44
omakase,8.745833333333332
verde,8.787500000000001
music,8.0970297029703
atendieron,8.9
player,7.3
runny,8.700000000000001
squat,7.2
clothbound,8.5
runner,9.2
gnocchus,8.866666666666667
lick,9.1
intuitive,8.2
stewed,9.2
key,8.893333333333334
chittara,8.7
skimp,8.9
ill,8.425
sorority,6.9
aubon,6.8
fuumi,8.5
blood,8.899999999999999
unimpressive,7.6
toffee,9.0
steelers,6.5
seulement,9.0
fixin,9.333333333333334
idaho,7.2
physically,8.3
delicius,9.05
awkward,9.033333333333333
insane,8.870370370370368
kosten,9.0
dick,7.8
britain,7.7
booze,8.942857142857143
okonomyaki,8.8
draw,9.014285714285716
reversion,8.5
tremendous,8.7
sorely,9.1
chinese,9.16451612903226
extraordinaire,8.9
gould,9.3
series,6.8
working,6.6
fugu,9.4
kiii,7.2
horible,8.2
habanero,8.525
immensely,9.4
taccozzette,9.1
croaker,9.0
grilled,8.415231788079463
condimentada,9.2
pinto,8.9
drop,8.805882352941175
byol,6.5
appetizers,8.7
chopstick,9.200000000000001
dedos,9.1
welcoming,9.2
cholate,9.0
forego,9.1
forgo,8.85
pleasure,8.544444444444444
rose,8.89
piccolo,9.1
soccer,8.7
tar,9.233333333333333
store,8.19047619047619
magician,9.2
vale,8.883333333333333
hite,8.2
ariel,7.2
help,8.38125
cognac,8.649999999999999
boa,9.125
cockroach,9.1
gladly,8.6
bubbly,9.05
season,8.718181818181819
camp,8.600000000000001
pussy,9.0
wkday,8.8
nyus,6.1
rarely,8.925
phenom,9.1
tableware,9.2
encanta,8.1
midnight,7.9
handful,9.0
poor,8.559999999999999
human,8.64
inn,9.1
dassai,9.4
county,7.2
track,9.2
helm,9.1
fatelvi,7.8
hasta,9.2
goodddd,8.7
pregnant,8.0
thicker,9.15
grade,8.042857142857143
bartista,8.7
schmedium,9.1
league,6.5
folx,8.9
competent,6.6
gizzard,8.75
arguably,8.899999999999999
semi,9.1
productive,8.3
server,8.40263157894737
avergage,8.6
snapchat,9.1
zachary,9.1
reward,8.3
bash,9.0
authentic,8.709638554216875
exellent,9.1
sorbettus,9.1
mousse,8.9
apart,9.2
gooood,9.166666666666666
eggplant,8.700000000000001
sure,9.111730843034566
sesame,8.968421052631578
watermelon,8.606249999999998
goi,7.6
shud,7.75
palmer,9.16
moo,7.3
glob,7.5
pizzas,9.0
beets,9.4
forma,9.1
woops,9.1
marinade,9.3
brick,8.7125
jamaica,9.1
deem,9.1
reprieve,9.1
burst,9.15
praline,9.4
voltage,9.2
strike,8.4
willy,9.0
wahzie,9.1
grigliati,8.6
steer,8.966666666666667
impolite,8.1
fulfill,9.1
onigir,8.5
size,8.613333333333335
yuck,8.149999999999999
tight,8.95
tastic,9.1
spiciness,9.25
prociutto,7.8
spekuloos,9.1
enorme,9.0
ding,8.45
windowed,7.5
stupendous,9.2
magma,9.1
akamura,9.4
useless,9.4
vol,9.2
robot,7.2
flavorful,8.866666666666667
sweetness,8.442857142857145
inventive,9.149999999999999
nymag,8.966666666666667
specially,8.459999999999999
gnochus,9.0
snarky,7.8
quail,8.933333333333332
finger,8.04
sludge,9.2
oreos,9.1
popcorn,8.633333333333333
guinness,8.333333333333334
yummmmy,9.3
powerful,9.0
grocery,8.5
truth,7.95
theyre,9.2
box,8.429629629629629
gluten,8.41666666666667
shishito,9.20952380952381
gastronomic,9.4
radius,9.1
action,8.3
dingy,8.5
fore,8.5
cavernous,6.9
spicy,8.991383812010444
vegans,9.4
biddie,9.0
phenomenal,8.858823529411765
booooo,9.0
cupcake,8.987804878048776
allow,8.639999999999999
snob,8.2
coziest,9.1
craziest,9.1
barry,8.7
woodstock,9.2
kumquat,9.25
pigs,8.6
auch,9.0
etheopian,8.9
unplug,7.85
indulge,9.100000000000001
pinch,8.299999999999999
awesome,8.644808743169369
muffin,8.343902439024387
mmmmmmm,8.7
asshole,7.416666666666667
king,8.953846153846154
collaborate,9.1
gather,9.0
richie,6.6
slider,7.418750000000001
negra,8.7
carmellini,9.2
wicked,8.399999999999999
wasabi,9.121428571428755
surf,9.116666666666667
bean,8.78301886792453
tooth,8.989999999999998
kikunus,9.4
everything,8.76397694524493
roofy,6.6
weekly,8.820000000000002
potpie,9.1
way,8.697716894977166
lewontin,8.9
minuscule,9.3
men,9.163636363636364
mim,8.7
laugh,8.575000000000001
valley,9.2
supreme,7.428571428571429
oversalt,9.4
company,8.61
personally,8.907692307692308
egalitarian,8.9
yet,8.448148148148148
uncommon,8.7
beam,6.8
nero,9.1
cappy,9.2
melon,8.95
discourage,8.02
guest,8.985714285714286
sammarzano,8.7
cheat,9.25
picky,8.85
hotdog,8.45
avid,9.15
melhor,8.725
bap,8.6
component,9.4
paw,9.1
avoid,8.589411764705886
mascarpone,9.05
shop,8.590217391304346
muddle,9.1
expensive,8.529069767441861
length,9.4
spending,9.0
fast,8.384285714285719
still,8.66183206106871
addition,8.607142857142856
alfajore,7.8
porq,9.4
lead,8.48
adventure,7.3
compost,9.068674698795192
biggest,8.471428571428573
tabasco,7.5
brasserie,9.2
steeler,6.5
dou,9.4
element,8.5
batalli,9.1
mokbar,8.6
shareable,8.700000000000001
masterful,9.2
kikusui,9.4
dance,7.1875
solitary,8.8
install,9.1
pretension,6.9
olympia,7.3
cup,8.444444444444454
upp,9.3
llenas,9.0
pekne,9.3
except,8.377777777777776
receive,7.8
wretched,9.2
atrium,9.2
adorb,9.2
delicias,9.0
farolito,8.9
mexico,8.9
noble,6.6
eatery,8.877777777777778
humid,9.1
child,9.166666666666666
tend,8.590909090909092
cloudy,9.4
geso,8.5
amiable,9.0
fifteen,7.2
cherish,9.1
thn,9.0
nummy,9.4
facto,6.2
octopus,8.825999999999995
tue,7.95
hugh,8.9
spotty,8.266666666666667
volatility,9.1
pulverize,9.0
autumn,9.0
visible,7.4
bro,7.1125
gluttonous,7.2
crew,8.083333333333334
bullshit,9.1
antipasto,9.1
gkev,9.3
nabe,9.2
drawback,9.15
carmel,8.299999999999999
kae,9.4
tartico,7.8
mouthgasmful,9.1
lymn,9.4
ultimately,8.3
happily,8.6
swine,9.4
interview,8.200000000000001
ridiculous,8.864705882352938
agendamento,9.0
overpower,8.899999999999999
leider,9.0
katie,8.133333333333335
optional,9.0
mehraban,8.899999999999999
butterscotch,9.1
imo,8.833333333333334
crouton,8.15
hear,8.81153846153846
kitchen,8.939999999999996
day,8.556221198156681
wonderfull,7.6
ideal,8.785714285714286
productos,9.0
giro,8.0
soyu,9.4
certain,8.459999999999999
freshman,6.5
director,9.1
yhdysvaltain,9.1
deluca,7.5
steeper,9.2
highly,8.789830508474578
firecracker,8.4
ser,9.1
tang,9.3
restaurent,8.7
bout,6.55
reccommend,8.7
loudest,9.0
duty,9.2
recover,8.95
cassoulet,9.2
locanda,9.2
prefer,8.677777777777777
turkey,8.172881355932208
pen,7.5
nontraditional,8.0
close,8.405357142857145
apologetic,8.35
suffer,7.2
often,8.548571428571426
assumption,8.7
pebbles,9.1
simply,8.903999999999998
island,7.8
graffiti,8.6
whitney,9.1
moussaka,8.0
propia,9.2
mad,8.4625
wet,8.4
advertise,9.2
empanada,8.2
dukakis,7.3
fishbowl,7.2
social,8.266666666666667
six,8.8
sound,8.809999999999997
surpassingly,7.3
burratta,9.0
som,8.375
amarano,9.1
lawn,9.2
charlie,9.149999999999999
creamiest,8.9
sinfully,8.8
taishos,8.5
photography,8.833333333333332
leche,9.1
maiko,9.4
counter,8.514
moan,9.2
cred,9.2
panel,9.1
breathe,7.1
wonton,9.122222222222222
insurance,9.1
alain,7.8
clear,8.77
pete,6.5
upstairs,7.588235294117647
wafer,9.1
stumptown,8.95
out,8.528534704370164
nine,7.8
seamlessly,8.7
officially,8.85
monster,9.066666666666668
emporium,8.5
evil,8.5
attempt,9.05
blanco,9.2
not,9.063985119739437
site,9.2
angus,8.5
brown,8.257894736842104
fairly,8.4875
pancakes,9.036363636363639
paleta,8.2
summdat,8.3
takana,9.4
remedy,9.1
leafe,9.0
pound,8.185714285714285
kimoto,8.6
happiness,8.9375
jukebox,6.5
estavam,9.1
woooow,9.0
tarbuck,7.5
carbonation,9.0
minca,9.4
pistou,8.95
ftw,8.772413793103448
chewiness,8.7
spiced,8.822222222222223
frank,8.775
grant,7.2
coconut,8.834920634920639
sooooooooooo,8.6
turistas,9.1
penny,7.775000000000002
smiley,7.8
uni,8.765
acid,9.0
pastries,8.680000000000001
excellent,8.776190476190484
overcharge,6.55
revered,9.3
water,8.45822784810127
shoyn,9.4
ransom,7.5
sacrifice,9.0
away,8.693478260869567
train,8.2125
berkeley,8.9
tour,8.316666666666668
fairytale,8.2
liver,8.9125
roast,8.715999999999998
nostalgia,9.1
ika,8.799999999999999
cutie,9.1
chix,8.6
therice,8.6
salsa,8.639285714285712
haywire,8.0
omikase,8.6
thesmith,9.0
nicely,8.485714285714286
francine,8.9
citron,8.6
karaka,9.400000000000004
osso,9.4
tapas,9.057142857142859
rainy,8.375
giannone,8.1
investment,9.1
pallet,8.6
gummy,8.411111111111111
largely,8.7
sip,8.8375
nfl,6.9
wisp,9.1
mackerel,9.0
dirtiest,6.8
inaccurate,8.25
strand,7.983333333333334
amanda,9.0
omniformer,7.4
humus,9.0
justification,5.6
period,9.120194583223942
grilles,9.0
cereal,9.099999999999968
workie,8.3
keep,8.462
minx,9.0
gooodddd,9.1
row,9.266666666666666
redo,9.0
responsible,8.2
ralph,9.0
culatello,9.1
farthe,6.9
gyu,9.2
misto,9.2
handy,8.05
gelati,9.1
xlerator,9.4
ritz,9.1
hela,9.3
version,8.847999999999995
appeal,9.2
kabob,9.033333333333333
definetely,9.25
penicillin,9.4
gender,9.0
remarkably,7.8
warmful,8.0
critic,9.133333333333333
madame,9.2
quickly,8.105
batlai,9.1
sensation,9.0
grits,8.873913043478261
armenian,7.875
mud,9.018604651162784
cross,8.066666666666668
cozy,8.470689655172409
lame,8.450000000000001
smootea,7.5
venemous,9.1
cheerwine,7.2
juan,9.0
macarron,8.8
promise,9.28
cornmeal,9.1
raisin,8.5
funky,8.666666666666666
receipt,7.866666666666666
upgrade,8.48
humanly,8.9
nugget,9.075
overcooked,8.233333333333333
pepsi,8.9
lauren,9.0
respectful,8.8
daughter,8.35
californian,8.9
yammy,8.1
bison,9.1
lights,6.9
euro,8.649999999999999
standby,9.0
pollen,9.4
condition,9.0
shadow,7.5
azuki,9.2
cruise,9.05
brandon,7.5
magner,6.9
frite,9.100000000000001
construct,8.9
into,8.64050632911393
ungodly,6.8
straightforward,8.9
frickin,8.9
yokozuna,8.7
coach,9.2
ice,9.037288135593174
hello,8.425
shy,9.06
small,8.790259740259758
claudette,8.7
lull,9.2
rockin,8.933333333333334
club,8.570588235294117
torte,9.2
experimental,9.25
gingersnap,7.8
joe,8.767741935483869
umamus,9.4
clave,8.9
notoriously,9.1
buck,8.282608695652174
available,8.915217391304344
kritikus,9.4
whilst,8.95
yoga,9.0
souvlaki,8.0
dolla,6.5
driver,6.9
detail,8.649999999999999
bravo,7.625
notch,9.041666666666668
request,8.799999999999999
mildly,8.333333333333334
anus,8.9
tots,6.5
aeropress,8.9
arrabiata,8.1
barkeep,9.1
rival,8.74
eclectic,8.666666666666666
jolt,8.2
golly,9.0
draught,7.950000000000001
frittata,8.74
diced,9.3
originality,9.0
redhead,9.0
ovenly,8.6
ditzy,8.4
nachos,8.9
ramps,9.1
mind,8.865384615384615
mas,8.940000000000001
workout,8.425
spare,7.95
collection,7.366666666666667
pear,8.88888888888889
indeed,8.440000000000001
snl,8.366666666666667
sabine,8.6
online,8.6875
saigon,7.599999999999999
edit,9.2
kickass,9.0
dory,9.2
industrial,9.1
tingly,9.233333333333333
treasure,8.85
erykah,9.2
izakaya,8.853333333333333
cristo,9.1
wish,8.414285714285715
verdure,8.1
hour,9.103364224958868
grease,7.725
crabstick,8.5
allen,9.1
lmao,8.3
idiot,8.75
pure,8.757142857142854
milky,8.825
spirit,9.133333333333333
cuppa,8.2
celebrity,8.6
karakamen,9.4
dolma,7.3
rain,9.3
eatly,9.1
refrigerator,9.1
mesero,9.4
andre,9.0
wate,9.1
fridge,8.620000000000001
galatea,9.0
seriously,8.642857142857144
charme,9.4
frill,8.433333333333334
long,8.750753768844229
gridlock,9.4
partner,8.266666666666666
preference,9.1
duke,7.2
tempera,8.7
stracotto,9.1
second,8.786956521739127
escape,7.3
rosati,9.1
russell,9.0
elitist,9.2
yours,9.333333333333334
watery,8.7
newest,8.233333333333333
carolina,7.3500000000000005
road,8.299999999999999
malbec,9.0
bechamel,9.4
edition,8.55
palette,9.2
playing,7.866666666666667
granita,9.014285714285714
decade,8.5
forever,8.321052631578947
annoyed,9.033333333333333
contamination,7.5
receli,9.2
unleash,8.6
atlantic,7.8
scarce,9.05
scrabble,7.933333333333334
malibu,9.1
create,8.816666666666666
feeeel,9.2
sabashio,8.5
marks,8.7
teavana,6.8
luogo,9.1
contender,8.1
yur,6.5
doodle,9.1
prop,8.6
wipe,9.4
scratch,8.2
saboroso,8.875
damn,8.566666666666666
pinker,7.3
numb,9.100000000000001
ambush,9.3
dice,9.4
courtyard,9.2
probarlo,9.1
tick,9.1
pickles,8.7
robinson,9.4
rarity,8.066666666666666
food,8.603378378378416
americana,8.85
cocktailsin,9.4
scoville,9.15
uma,8.9
should,8.680412371134027
voy,9.4
exit,9.1
stuffed,9.08
lord,9.1
hat,8.199999999999998
brunch,8.85361702127661
noticeable,8.0
ipuddo,9.4
qualquer,9.1
kusshi,9.2
southwestern,9.0
charitea,7.5
tuck,8.6
lactose,9.04
hollow,9.1
fab,8.666666666666666
uff,7.8
scream,8.799999999999999
baba,8.75
moriawase,8.7
composte,9.1
yumminess,9.0
mob,7.95
cig,9.2
fig,8.633333333333333
fontana,8.6
that,9.079966208061863
mac,9.114255515920382
beans,7.75
excessively,8.649999999999999
induce,9.1
regal,8.2
raise,8.155555555555555
challenge,8.149999999999999
broil,8.674999999999999
temperature,8.233333333333333
ave,8.12307692307692
muldoons,8.3
ton,8.570833333333333
snappy,8.7
dogfish,7.8
mayonnaise,8.366666666666667
advise,8.1
eaterie,9.1
wan,8.833333333333334
teamosa,7.5
bigos,9.1
zagreb,7.1
oink,7.2
forewarn,7.5
vous,9.0
splash,8.510000000000002
enak,9.4
therefore,9.1
blossom,8.7
temdon,8.7
influence,9.05
porque,8.95
coldcut,7.6
geogeous,8.9
potato,8.843262411347524
overbearing,8.0
mango,8.945454545454542
manhattan,8.62280701754386
ham,8.77692307692308
youre,8.766666666666666
zencefil,9.2
braised,8.75
caitlin,7.2
around,8.680882352941184
times,8.633333333333335
mckenna,9.1
unmatchable,9.1
elastic,9.4
aerobie,8.9
electrical,7.3500000000000005
camino,6.9
dinnet,9.2
reportedly,6.8
heathy,9.1
birchbox,9.1
astor,7.653846153846152
montezuma,6.5
crema,8.625
catfish,8.72
costillar,7.2
perch,6.8
sticky,8.507692307692306
meeting,8.354545454545452
sugary,8.66
