unigram,sum,frequency,mean
union,555.7000000000003,67,8.294029850746274
orphanage,9.1,1,9.1
waiter,334.69999999999993,38,8.807894736842103
prolly,9.4,1,9.4
punk,18.8,2,9.4
cosa,9.0,1,9.0
chaotic,9.0,1,9.0
gamewatches,7.5,1,7.5
wholesome,27.0,3,9.0
por,79.3,9,8.81111111111111
split,252.1,29,8.693103448275862
kiin,7.3,1,7.3
deserve,58.6,7,8.371428571428572
ace,9.1,1,9.1
entire,119.10000000000001,13,9.161538461538463
lunchtime,49.7,6,8.283333333333333
drinks,6.9,1,6.9
roaster,17.299999999999997,2,8.649999999999999
lyric,9.0,1,9.0
clone,9.4,1,9.4
gyros,8.0,1,8.0
overrun,15.5,2,7.75
cher,9.1,1,9.1
buffet,33.7,4,8.425
kanpai,9.3,1,9.3
kish,9.2,1,9.2
chicke,9.4,1,9.4
ungreasy,8.9,1,8.9
acheson,8.9,1,8.9
europe,35.3,4,8.825
precise,9.3,1,9.3
grenadine,7.2,1,7.2
daiginjo,9.4,1,9.4
ravioli,121.59999999999998,14,8.685714285714285
frosted,7.5,1,7.5
luc,15.2,2,7.6
darn,35.7,4,8.925
grillllle,8.9,1,8.9
bannana,9.1,1,9.1
arrange,9.4,1,9.4
gooooood,9.2,1,9.2
whip,91.1,11,8.281818181818181
lifetime,18.4,2,9.2
impressive,64.1,7,9.157142857142857
isaan,16.4,2,8.2
mmmm,98.2,11,8.927272727272728
eachother,8.2,1,8.2
porcelain,17.5,2,8.75
tasteful,9.2,1,9.2
hazelnut,420.7000000000003,47,8.95106382978724
there,3355.1999999999907,395,8.49417721518985
underwhelm,53.699999999999996,6,8.95
gorgonzola,34.800000000000004,4,8.700000000000001
bladder,9.2,1,9.2
blt,41.0,5,8.2
decently,6.8,1,6.8
spear,6.5,1,6.5
indoors,18.299999999999997,2,9.149999999999999
oua,7.3,1,7.3
funcionamento,9.4,1,9.4
nitro,17.2,2,8.6
turkish,49.8,6,8.299999999999999
crank,24.799999999999997,3,8.266666666666666
jugos,9.0,1,9.0
kimi,9.0,1,9.0
dread,7.5,1,7.5
coolio,8.3,1,8.3
alcohol,80.99999999999999,9,8.999999999999998
obnoxious,30.3,4,7.575
chewsy,9.4,1,9.4
vinegar,77.7,9,8.633333333333333
ironically,7.4,1,7.4
ohh,9.4,1,9.4
crush,15.9,2,7.95
mace,6.8,1,6.8
yasai,26.099999999999998,3,8.7
thailand,16.4,2,8.2
hilarious,16.9,2,8.45
room,591.2000000000002,67,8.823880597014927
jedal,9.3,1,9.3
eskimo,90.99999999999999,10,9.099999999999998
party,359.2999999999999,41,8.763414634146338
thursdays,22.2,3,7.3999999999999995
babaganoush,26.7,3,8.9
militantly,6.8,1,6.8
shimp,8.5,1,8.5
textbook,9.4,1,9.4
hum,7.2,1,7.2
next,737.2000000000004,86,8.57209302325582
nuong,7.6,1,7.6
closet,9.1,1,9.1
agave,51.0,6,8.5
swedish,9.0,1,9.0
morning,332.90000000000003,41,8.119512195121953
ressie,9.1,1,9.1
pescado,16.4,2,8.2
bonanza,7.2,1,7.2
rocks,17.299999999999997,2,8.649999999999999
brewing,9.2,1,9.2
unctuous,9.4,1,9.4
dale,17.6,2,8.8
funness,9.2,1,9.2
form,88.09999999999998,10,8.809999999999999
rugala,7.2,1,7.2
formaggio,18.2,2,9.1
dumbling,9.4,1,9.4
crucial,18.3,2,9.15
erotic,7.1,1,7.1
uninterrupted,9.2,1,9.2
fresco,35.1,4,8.775
chaus,246.2999999999999,29,8.493103448275859
diappointing,8.6,1,8.6
piroygi,9.1,1,9.1
traffic,26.4,3,8.799999999999999
dorade,18.4,2,9.2
ever,2955.29999999999,342,8.64122807017541
greeks,7.3,1,7.3
mothereffing,9.1,1,9.1
number,153.4,18,8.522222222222222
vino,36.3,4,9.075
sausages,18.8,2,9.4
why,607.5000000000001,69,8.804347826086959
miniature,18.2,2,9.1
none,55.300000000000004,6,9.216666666666667
thin,357.8999999999999,41,8.729268292682924
hesitate,16.1,2,8.05
peanut,373.1000000000002,43,8.676744186046516
shaky,9.2,1,9.2
multigrain,6.8,1,6.8
member,62.1,7,8.871428571428572
aburi,8.4,1,8.4
noodle,3135.999999999989,342,9.169590643274821
soulcycle,9.2,1,9.2
